,location,total_sqft,bath,price,bhk
2741,Electronic City,1320.0,2.0,38.12,3
2742,Electronic City,1090.0,2.0,31.48,2
2743,Electronic City,1050.0,2.0,39.0,3
2744,Electronic City,1128.0,2.0,65.58,2
2745,Electronic City,635.0,1.0,28.0,1
2746,Electronic City,1128.0,2.0,65.4,2
2747,Electronic City,1096.0,2.0,39.0,2
2748,Electronic City,1150.0,2.0,38.0,2
2749,Electronic City,1355.0,2.0,72.9,2
2750,Electronic City,1200.0,2.0,30.0,2
2751,Electronic City,1150.0,2.0,35.0,2
2752,Electronic City,1165.0,2.0,33.64,2
2753,Electronic City,1609.0,3.0,115.0,3
2754,Electronic City,770.0,1.0,35.0,2
2755,Electronic City,1020.0,2.0,29.45,2
2756,Electronic City,865.0,2.0,40.0,2
2757,Electronic City,800.0,2.0,32.0,2
2758,Electronic City,970.0,2.0,34.0,2
2759,Electronic City,1108.0,2.0,63.0,2
2760,Electronic City,630.0,1.0,40.5,1
2761,Electronic City,1100.0,2.0,41.0,2
2762,Electronic City,975.0,2.0,32.0,2
2763,Electronic City,605.0,1.0,22.0,1
2764,Electronic City,1142.0,2.0,35.0,2
2765,Electronic City,1070.0,2.0,48.0,2
2766,Electronic City,1160.0,2.0,42.0,3
2767,Electronic City,1360.0,2.0,70.0,3
2768,Electronic City,635.0,1.0,28.0,1
2769,Electronic City,1128.0,2.0,65.45,2
2770,Electronic City,890.0,2.0,40.0,2
2771,Electronic City,1065.0,2.0,30.75,2
2772,Electronic City,1127.0,2.0,32.0,2
2773,Electronic City,825.0,2.0,35.0,2
2774,Electronic City,1200.0,2.0,40.5,2
2775,Electronic City,1360.0,2.0,58.0,3
2776,Electronic City,1400.0,2.0,40.45,3
2777,Electronic City,1065.0,2.0,30.76,2
2778,Electronic City,630.0,1.0,33.7,1
2779,Electronic City,1025.0,2.0,29.61,2
2780,Electronic City,1160.0,2.0,42.0,3
2781,Electronic City,660.0,1.0,16.5,2
2782,Electronic City,1400.0,3.0,90.0,3
2783,Electronic City,1287.0,3.0,55.0,3
2784,Electronic City,1258.0,2.0,85.5,2
2785,Electronic City,1386.0,2.0,85.0,2
2786,Electronic City,1025.0,2.0,50.0,2
2787,Electronic City,1140.0,2.0,33.84,2
2788,Electronic City,1070.0,2.0,55.0,2
2789,Electronic City,1342.0,2.0,72.0,2
2790,Electronic City,1275.0,3.0,70.0,3
2791,Electronic City,770.0,1.0,38.0,2
2792,Electronic City,1200.0,2.0,34.65,2
2793,Electronic City,1005.0,2.0,39.77,2
2794,Electronic City,1110.0,2.0,39.9,2
2795,Electronic City,660.0,1.0,23.0,2
2796,Electronic City,1644.0,3.0,92.59,3
2797,Electronic City,1250.0,2.0,62.0,2
2798,Electronic City,1020.0,2.0,30.27,2
2799,Electronic City,1025.0,2.0,29.6,2
2800,Electronic City,418.0,1.0,12.0,1
2801,Electronic City,1128.0,2.0,64.8,2
2802,Electronic City,1220.0,2.0,35.25,3
2803,Electronic City,1220.0,2.0,35.23,3
2804,Electronic City,1060.0,2.0,55.0,2
2805,Electronic City,710.0,1.0,40.42,1
2806,Electronic City,1000.0,2.0,29.95,2
2807,Electronic City,870.0,2.0,24.0,2
2808,Electronic City,1275.0,3.0,63.43,3
2809,Electronic City,1518.0,3.0,75.0,3
2810,Electronic City,1090.0,2.0,31.48,1
2811,Electronic City,1140.0,2.0,32.92,2
2812,Electronic City,1125.0,2.0,32.49,2
2813,Electronic City,1060.0,2.0,55.0,2
2814,Electronic City,1200.0,2.0,34.66,2
2815,Electronic City,1353.0,2.0,75.0,2
2816,Electronic City,660.0,1.0,18.0,2
2817,Electronic City,1128.0,2.0,67.0,2
2818,Electronic City,1070.0,2.0,57.0,2
2819,Electronic City,1700.0,3.0,90.0,3
2820,Electronic City,1521.0,2.0,57.5,3
2821,Electronic City,750.0,1.0,35.0,1
2822,Electronic City,1210.0,2.0,55.0,2
2823,Electronic City,1070.0,2.0,60.0,2
2824,Electronic City,1400.0,2.0,40.44,3
2825,Electronic City,1190.0,2.0,42.0,2
2826,Electronic City,880.0,2.0,19.0,2
2827,Electronic City,1150.0,2.0,38.08,2
2828,Electronic City,550.0,1.0,16.0,2
2829,Electronic City,1615.0,3.0,97.0,3
2830,Electronic City,1165.0,2.0,33.65,2
2831,Electronic City,1221.0,2.0,68.0,2
2832,Electronic City,970.0,2.0,35.0,2
2833,Electronic City,1500.0,3.0,73.0,3
2834,Electronic City,995.0,2.0,48.0,2
2835,Electronic City,1342.0,2.0,90.0,2
2836,Electronic City,1320.0,2.0,38.12,3
2837,Electronic City,550.0,2.0,16.0,2
2838,Electronic City,1128.0,2.0,63.5,2
2839,Electronic City,589.0,1.0,29.0,1
2840,Electronic City,1125.0,2.0,28.13,2
2841,Electronic City,825.0,2.0,30.0,2
2842,Electronic City,1575.0,3.0,94.5,3
2843,Electronic City,1070.0,2.0,48.0,2
2844,Electronic City,1025.0,2.0,54.0,2
2845,Electronic City,1500.0,2.0,70.0,3
2846,Electronic City,1500.0,2.0,64.5,3
2847,Electronic City,1140.0,2.0,32.93,2
2848,Electronic City,2093.0,4.0,134.0,4
2849,Electronic City,750.0,2.0,19.5,2
2850,Electronic City,1355.0,2.0,73.0,2
2851,Electronic City,1360.0,2.0,64.99,3
2852,Electronic City,1060.0,2.0,52.0,2
2853,Electronic City Phase II,1056.0,2.0,39.07,2
2854,Electronic City Phase II,1020.0,2.0,30.6,2
2855,Electronic City Phase II,1069.0,2.0,45.0,2
2856,Electronic City Phase II,630.0,1.0,28.35,1
2857,Electronic City Phase II,1220.0,2.0,35.23,3
2858,Electronic City Phase II,1000.0,2.0,25.0,2
2859,Electronic City Phase II,1090.0,2.0,28.34,2
2860,Electronic City Phase II,2225.0,4.0,98.88,4
2861,Electronic City Phase II,1400.0,2.0,40.43,3
2862,Electronic City Phase II,775.0,2.0,38.0,2
2863,Electronic City Phase II,1266.0,2.0,59.0,2
2864,Electronic City Phase II,1000.0,2.0,28.88,2
2865,Electronic City Phase II,1320.0,2.0,38.13,3
2866,Electronic City Phase II,1220.0,3.0,35.23,3
2867,Electronic City Phase II,972.0,2.0,44.0,2
2868,Electronic City Phase II,1400.0,2.0,40.43,3
2869,Electronic City Phase II,1031.0,2.0,55.0,2
2870,Electronic City Phase II,1003.0,2.0,40.6,2
2871,Electronic City Phase II,545.0,1.0,27.0,2
2872,Electronic City Phase II,1031.0,2.0,56.35,2
2873,Electronic City Phase II,1320.0,2.0,38.12,3
2874,Electronic City Phase II,1395.0,2.0,62.78,3
2875,Electronic City Phase II,1160.0,2.0,33.5,2
2876,Electronic City Phase II,1065.0,2.0,30.75,2
2877,Electronic City Phase II,1219.0,2.0,61.25,2
2878,Electronic City Phase II,1400.0,2.0,41.58,3
2879,Electronic City Phase II,1000.0,2.0,28.88,2
2880,Electronic City Phase II,1790.0,3.0,100.0,3
2881,Electronic City Phase II,769.0,2.0,40.0,2
2882,Electronic City Phase II,1400.0,2.0,40.43,3
2883,Electronic City Phase II,900.0,2.0,32.5,2
2884,Electronic City Phase II,1329.0,2.0,41.0,3
2885,Electronic City Phase II,1220.0,3.0,35.23,3
2886,Electronic City Phase II,993.0,2.0,50.0,3
2887,Electronic City Phase II,1418.0,3.0,52.47,3
2888,Electronic City Phase II,1070.0,2.0,45.0,2
2889,Electronic City Phase II,1310.0,2.0,32.75,3
2890,Electronic City Phase II,1310.0,2.0,37.83,3
2891,Electronic City Phase II,1140.0,2.0,33.06,2
2892,Electronic City Phase II,1089.0,2.0,32.67,2
2893,Electronic City Phase II,1031.0,2.0,55.0,2
2894,Electronic City Phase II,1253.0,2.0,65.8,2
2895,Electronic City Phase II,1400.0,2.0,40.44,3
2896,Electronic City Phase II,1160.0,2.0,33.5,2
2897,Electronic City Phase II,975.0,2.0,45.0,3
2898,Electronic City Phase II,6000.0,4.0,260.0,4
2899,Electronic City Phase II,1116.0,2.0,37.0,2
2900,Electronic City Phase II,1125.0,2.0,29.25,2
2901,Electronic City Phase II,1000.0,2.0,28.88,2
2902,Electronic City Phase II,1000.0,2.0,28.88,2
2903,Electronic City Phase II,1000.0,2.0,28.88,2
2904,Electronic City Phase II,1165.0,2.0,30.29,2
2905,Electronic City Phase II,3550.0,2.0,167.5,4
2906,Electronic City Phase II,1031.0,2.0,53.0,2
2907,Electronic City Phase II,1611.0,2.0,48.33,3
2908,Electronic City Phase II,1065.0,2.0,30.88,2
2909,Electronic City Phase II,1220.0,3.0,36.6,3
2910,Electronic City Phase II,1549.0,3.0,80.0,3
2911,Electronic City Phase II,1065.0,2.0,56.13,2
2912,Electronic City Phase II,1320.0,2.0,38.13,3
2913,Electronic City Phase II,920.0,2.0,26.0,2
2914,Electronic City Phase II,1140.0,2.0,33.84,2
2915,Electronic City Phase II,1219.0,2.0,61.26,2
2916,Electronic City Phase II,1252.0,2.0,65.0,3
2917,Electronic City Phase II,875.0,2.0,40.0,3
2918,Electronic City Phase II,1125.0,2.0,32.49,2
2919,Electronic City Phase II,1310.0,2.0,37.83,3
2920,Electronic City Phase II,1286.0,2.0,69.0,2
2921,Electronic City Phase II,1220.0,2.0,36.21,3
2922,Electronic City Phase II,1140.0,2.0,32.92,2
2923,Electronic City Phase II,1116.0,2.0,40.0,2
2924,Electronic City Phase II,1150.0,3.0,46.0,3
2925,Electronic City Phase II,1192.0,2.0,47.0,3
2926,Electronic City Phase II,1502.0,3.0,50.0,3
2927,Electronic City Phase II,1020.0,2.0,32.0,2
2928,Electronic City Phase II,1900.0,3.0,97.0,4
2929,Electronic City Phase II,1020.0,2.0,27.43,2
2930,Electronic City Phase II,1025.0,2.0,26.65,2
2931,Electronic City Phase II,545.0,1.0,29.0,2
2932,Electronic City Phase II,1020.0,2.0,29.45,2
2933,Electronic City Phase II,1000.0,2.0,28.88,2
2934,Electronic City Phase II,1310.0,2.0,37.84,3
2935,Electronic City Phase II,1140.0,2.0,28.5,2
2936,Electronic City Phase II,1125.0,2.0,32.49,2
2937,Electronic City Phase II,1200.0,2.0,34.65,2
2938,Electronic City Phase II,1160.0,2.0,52.2,2
2939,Electronic City Phase II,1244.0,2.0,55.0,2
2940,Electronic City Phase II,1160.0,2.0,33.51,2
2941,Electronic City Phase II,1220.0,3.0,35.25,3
2942,Electronic City Phase II,1625.0,2.0,48.75,3
2943,Electronic City Phase II,972.0,2.0,40.0,2
2944,Electronic City Phase II,1160.0,2.0,33.51,2
2945,Electronic City Phase II,1400.0,2.0,40.45,3
2946,Electronic City Phase II,1090.0,2.0,31.48,2
2947,Electronic City Phase II,1140.0,2.0,32.92,2
2948,Electronic City Phase II,650.0,1.0,35.0,1
2949,Electronic City Phase II,1155.0,2.0,57.0,2
2950,Electronic City Phase II,1800.0,3.0,92.0,3
2951,Electronic City Phase II,1300.0,2.0,28.0,2
2952,Electronic City Phase II,1940.0,4.0,116.0,3
2953,Electronic City Phase II,1160.0,2.0,33.5,2
2954,Electronic City Phase II,1025.0,2.0,29.6,2
2955,Electronic City Phase II,829.0,2.0,22.8,2
2956,Electronic City Phase II,2187.5,4.0,105.0,4
2957,Electronic City Phase II,1252.0,2.0,67.0,2
2958,Electronic City Phase II,1320.0,2.0,38.12,3
2959,Electronic City Phase II,1125.0,2.0,32.63,2
2960,Electronic City Phase II,1140.0,2.0,34.0,2
2961,Electronic City Phase II,1310.0,2.0,37.84,3
2962,Electronic City Phase II,1400.0,2.0,40.43,3
2963,Electronic City Phase II,1252.0,2.0,65.0,3
2964,Electronic City Phase II,1135.0,2.0,46.0,2
2965,Electronic City Phase II,1305.0,3.0,65.0,3
2966,Electronic City Phase II,1165.0,2.0,33.64,2
2967,Electronic City Phase II,1400.0,2.0,40.44,3
2968,Electronic City Phase II,1336.0,2.0,50.35,3
2969,Electronic City Phase II,575.0,1.0,16.75,1
2970,Electronic City Phase II,925.0,2.0,49.82,3
2971,Electronic City Phase II,1065.0,2.0,30.76,2
2972,Electronic City Phase II,1065.0,2.0,30.75,2
2973,Electronic City Phase II,1140.0,2.0,33.06,2
2974,Electronic City Phase II,911.0,2.0,26.5,2
2975,Electronic City Phase II,1200.0,2.0,34.65,2
2976,Electronic City Phase II,1031.0,2.0,54.48,2
2977,Electronic City Phase II,545.0,1.0,28.0,2
2978,Electronic City Phase II,1310.0,2.0,37.83,3
2979,Electronic City Phase II,1651.0,3.0,49.53,3
2980,"Electronic city Phase 1, ",950.0,2.0,33.0,2
2981,Electronics City Phase 1,1070.0,2.0,45.5,2
2982,Electronics City Phase 1,1475.0,3.0,78.29,3
2983,Electronics City Phase 1,1490.0,3.0,78.8,3
2984,Electronics City Phase 1,1113.27,2.0,53.0,2
2985,Electronics City Phase 1,1490.0,3.0,84.0,3
2986,Electronics City Phase 1,1175.0,2.0,51.47,2
2987,Electronics City Phase 1,1160.0,2.0,52.0,2
2988,Electronics City Phase 1,920.0,2.0,33.0,2
2989,Electronics City Phase 1,1750.0,3.0,84.0,3
2990,Electronics City Phase 1,1350.0,3.0,55.0,3
2991,Electronics City Phase 1,940.0,2.0,40.0,2
2992,Electronics City Phase 1,1015.0,2.0,56.0,2
2993,Electronics City Phase 1,1595.0,3.0,75.0,3
2994,Electronics City Phase 1,1515.0,2.0,80.91,3
2995,Electronics City Phase 1,995.0,2.0,46.0,2
2996,Electronics City Phase 1,1555.0,2.0,82.0,3
2997,Electronics City Phase 1,1340.0,2.0,75.0,2
2998,Electronics City Phase 1,650.0,1.0,23.0,1
2999,Electronics City Phase 1,1124.0,2.0,55.0,3
3000,Electronics City Phase 1,1175.0,2.0,57.0,2
3001,Electronics City Phase 1,755.0,1.0,42.41,1
3002,Electronics City Phase 1,580.0,1.0,27.0,1
3003,Electronics City Phase 1,940.0,2.0,49.0,2
3004,Electronics City Phase 1,1335.0,2.0,67.0,2
3005,Electronics City Phase 1,1175.0,2.0,69.0,2
3006,Electronics City Phase 1,1113.12,2.0,55.0,2
3007,Electronics City Phase 1,995.0,2.0,42.0,2
3008,Electronics City Phase 1,1350.0,3.0,71.0,3
3009,Electronics City Phase 1,1445.0,2.0,56.0,3
3010,Electronics City Phase 1,995.0,2.0,49.8,2
3011,Electronics City Phase 1,635.0,1.0,26.0,1
3012,Electronics City Phase 1,1190.0,2.0,68.0,2
3013,Electronics City Phase 1,1085.0,2.0,46.0,2
3014,Electronics City Phase 1,1450.0,3.0,72.54,3
3015,Electronics City Phase 1,360.0,1.0,16.9,1
3016,Electronics City Phase 1,638.0,1.0,32.0,1
3017,Electronics City Phase 1,1175.0,2.0,64.98,2
3018,Electronics City Phase 1,585.0,1.0,21.0,1
3019,Electronics City Phase 1,1200.0,2.0,59.76,2
3020,Electronics City Phase 1,1145.0,2.0,54.0,2
3021,Electronics City Phase 1,1125.0,2.0,65.0,2
3022,Electronics City Phase 1,1522.5,2.0,60.75,3
3023,Electronics City Phase 1,1550.0,2.0,82.0,3
3024,Electronics City Phase 1,1175.0,2.0,50.0,2
3025,Electronics City Phase 1,865.0,2.0,40.0,2
3026,Electronics City Phase 1,1450.0,3.0,70.0,3
3027,Electronics City Phase 1,1450.0,2.0,63.51,3
3028,Electronics City Phase 1,1450.0,3.0,58.0,3
3029,Electronics City Phase 1,1800.0,3.0,93.0,3
3030,Electronics City Phase 1,1314.0,2.0,60.0,2
3031,Electronics City Phase 1,1170.0,2.0,62.0,2
3032,Electronics City Phase 1,1450.0,3.0,79.0,3
3033,Electronics City Phase 1,940.0,2.0,48.0,2
3034,Electronics City Phase 1,940.0,2.0,44.0,2
3035,Electronics City Phase 1,1300.0,2.0,67.0,2
3036,Electronics City Phase 1,1028.0,2.0,51.0,2
3037,Electronics City Phase 1,1080.0,2.0,46.0,2
3038,Electronics City Phase 1,1205.0,2.0,60.0,2
3039,Electronics City Phase 1,1900.0,3.0,85.0,3
3040,Electronics City Phase 1,1305.0,2.0,67.0,2
3041,Electronics City Phase 1,755.0,1.0,30.12,1
3042,Electronics City Phase 1,1175.0,2.0,60.0,2
3043,Esther Enclave Layout,1000.0,2.0,66.0,2
3044,Ferrar Nagar,1180.0,2.0,69.0,2
3045,Ferrar Nagar,2145.0,4.0,125.0,4
3046,Frazer Town,1700.0,3.0,180.0,3
3047,Frazer Town,1305.0,3.0,95.45,3
3048,Frazer Town,1870.0,3.0,185.0,3
3049,Frazer Town,1750.0,3.0,150.0,3
3050,Frazer Town,4850.0,6.0,385.0,4
3051,Frazer Town,2000.0,3.0,200.0,3
3052,Frazer Town,3500.0,4.0,330.0,3
3053,Frazer Town,2350.0,4.0,285.0,3
3054,Frazer Town,1550.0,2.0,140.0,2
3055,Frazer Town,1900.0,4.0,145.0,3
3056,Frazer Town,2560.0,3.0,265.0,3
3057,Frazer Town,2400.0,3.0,260.0,3
3058,Frazer Town,2560.0,3.0,288.0,3
3059,Frazer Town,3436.0,5.0,341.0,4
3060,Frazer Town,4856.0,5.0,410.0,4
3061,Frazer Town,1315.0,2.0,140.0,2
3062,Frazer Town,1706.0,3.0,154.0,3
3063,Frazer Town,2079.0,3.0,220.0,3
3064,Frazer Town,3435.0,2.0,341.0,4
3065,Frazer Town,3436.0,5.0,345.0,4
3066,Frazer Town,3100.0,3.0,400.0,3
3067,Frazer Town,5400.0,3.0,400.0,3
3068,Frazer Town,1180.0,2.0,105.0,2
3069,Frazer Town,2900.0,4.0,325.0,4
3070,Frazer Town,1870.0,3.0,180.0,3
3071,Frazer Town,896.0,1.0,100.0,1
3072,Frazer Town,1420.0,2.0,120.0,2
3073,Friends Colony,1150.0,2.0,75.0,3
3074,GD Layout,1330.0,2.0,68.0,3
3075,GM Palaya,1820.0,2.0,86.0,3
3076,GM Palaya,1225.0,2.0,47.0,2
3077,GM Palaya,1140.0,2.0,48.95,2
3078,GM Palaya,1315.0,2.0,65.0,3
3079,GM Palaya,1315.0,3.0,65.0,3
3080,GM Palaya,1315.0,3.0,64.0,3
3081,GM Palaya,1735.0,3.0,70.0,3
3082,GM Palaya,1643.0,2.0,70.0,3
3083,Gandhi Bazar,1020.0,6.0,370.0,6
3084,Ganesha Block,2500.0,2.0,300.0,3
3085,Ganga Nagar,600.0,1.0,38.0,1
3086,Ganga Nagar,845.0,2.0,55.0,2
3087,Ganga Nagar,1112.0,2.0,68.0,2
3088,Ganga Nagar,998.0,2.0,65.0,2
3089,Ganga Nagar,1250.0,2.0,65.0,2
3090,Garebhavipalya,1200.0,2.0,75.0,2
3091,Garudachar Palya,1325.0,2.0,60.8,3
3092,Garudachar Palya,1060.0,2.0,48.7,2
3093,Garudachar Palya,1150.0,2.0,52.75,2
3094,Garudachar Palya,1295.0,2.0,59.5,3
3095,Garudachar Palya,1320.0,2.0,60.6,3
3096,Garudachar Palya,1295.0,2.0,59.5,3
3097,Garudachar Palya,1150.0,2.0,52.8,2
3098,Garudachar Palya,1150.0,2.0,52.8,2
3099,Garudachar Palya,1060.0,2.0,48.5,2
3100,Garudachar Palya,1150.0,2.0,52.5,2
3101,Garudachar Palya,1325.0,2.0,60.8,3
3102,Garudachar Palya,1060.0,2.0,48.66,2
3103,Garudachar Palya,1150.0,2.0,52.0,2
3104,Garudachar Palya,1154.0,2.0,51.8,2
3105,Garudachar Palya,1325.0,2.0,60.0,3
3106,Gattahalli,2000.0,2.0,95.0,3
3107,Gattigere,900.0,6.0,95.0,5
3108,Gaurava Nagar,1650.0,6.0,200.0,5
3109,Geddalahalli,1400.0,2.0,65.0,2
3110,Geddalahalli,850.0,2.0,32.5,2
3111,Geddalahalli,893.0,2.0,34.5,2
3112,Geleyara Balaga Layout,700.0,1.0,26.0,2
3113,Gidada Konnenahalli,1200.0,4.0,240.0,4
3114,Giri Nagar,880.0,3.0,140.0,3
3115,Giri Nagar,2400.0,4.0,400.0,4
3116,Giri Nagar,1800.0,3.0,252.0,3
3117,Giri Nagar,1350.0,3.0,240.0,3
3118,Giri Nagar,2400.0,4.0,400.0,4
3119,Giri Nagar,3000.0,4.0,375.0,6
3120,Giri Nagar,2400.0,6.0,400.0,6
3121,Giri Nagar,600.0,6.0,100.0,6
3122,Giri Nagar,1120.0,4.0,175.0,4
3123,Giri Nagar,4000.0,3.0,750.0,4
3124,Giri Nagar,1200.0,3.0,175.0,6
3125,Gkvk Layout,1350.0,3.0,195.0,3
3126,Gkvk Layout,1200.0,4.0,180.0,3
3127,Glass Factory Layout,1539.0,3.0,60.0,3
3128,Glass Factory Layout,1450.0,3.0,65.0,3
3129,Gnana Bharathi,3600.0,6.0,170.0,6
3130,Gokula Extension,1372.0,2.0,90.0,3
3131,Gokula Extension,1400.0,3.0,90.0,3
3132,Gollahalli,1395.0,2.0,63.59,2
3133,Gollahalli,1325.0,2.0,47.0,3
3134,Gollahalli,1050.0,2.0,48.0,2
3135,Gollahalli,1170.0,2.0,45.51,2
3136,Gollahalli,1170.0,2.0,39.0,2
3137,Gollahalli,1418.0,2.0,62.0,2
3138,Gollarapalya Hosahalli,861.0,2.0,34.5,2
3139,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
3140,Gollarapalya Hosahalli,861.0,2.0,34.5,2
3141,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
3142,Gollarapalya Hosahalli,861.0,2.0,36.5,2
3143,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
3144,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
3145,Gollarapalya Hosahalli,1905.0,3.0,86.0,4
3146,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
3147,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
3148,Gopalapura,2023.71,3.0,275.0,3
3149,Gopalapura,3179.0,5.0,351.0,4
3150,Gopalapura,1950.2,3.0,261.0,3
3151,Gopalapura,2171.66,3.0,298.0,3
3152,Gopalkrishna Nagar,1165.0,2.0,75.0,2
3153,Gopalkrishna Nagar,1280.0,2.0,75.0,2
3154,Gopalkrishna Nagar,1530.0,2.0,97.0,3
3155,Gopalkrishna Nagar,1155.0,2.0,65.0,2
3156,Gopalkrishna Nagar,1570.0,2.0,95.0,3
3157,Gopalkrishna Nagar,1155.0,2.0,64.0,2
3158,Gottigere,1100.0,2.0,40.0,2
3159,Gottigere,967.0,2.0,45.0,2
3160,Gottigere,1618.0,3.0,82.5,3
3161,Gottigere,1222.0,2.0,63.0,2
3162,Gottigere,1600.0,2.0,55.0,3
3163,Gottigere,1300.0,3.0,65.0,3
3164,Gottigere,950.0,2.0,38.0,2
3165,Gottigere,1153.0,2.0,48.5,2
3166,Gottigere,812.0,1.0,26.0,1
3167,Gottigere,2000.0,4.0,82.0,4
3168,Gottigere,1460.0,2.0,65.0,3
3169,Gottigere,1500.0,3.0,70.0,3
3170,Gottigere,1621.0,3.0,72.0,3
3171,Gottigere,812.0,1.0,26.0,1
3172,Gottigere,990.0,2.0,40.0,2
3173,Gottigere,1235.0,2.0,63.0,2
3174,Gottigere,1385.0,3.0,64.0,3
3175,Gottigere,1000.0,2.0,35.0,2
3176,Gottigere,1010.0,2.0,35.0,2
3177,Gottigere,1385.0,2.0,50.0,3
3178,Gottigere,1425.0,2.0,47.0,3
3179,Gottigere,1435.0,2.0,62.0,3
3180,Gottigere,945.0,2.0,45.0,2
3181,Gottigere,1400.0,2.0,50.0,3
3182,Gottigere,2500.0,3.0,120.0,4
3183,Gottigere,1230.0,2.0,52.0,3
3184,Gottigere,1120.0,2.0,50.0,2
3185,Gottigere,1500.0,3.0,63.0,3
3186,Gottigere,1200.0,2.0,40.0,2
3187,Gottigere,1280.0,2.0,61.0,2
3188,Gottigere,1205.0,2.0,56.58,2
3189,Gottigere,1170.0,2.0,40.0,2
3190,Gottigere,3000.0,3.0,132.0,4
3191,Gottigere,1613.0,3.0,72.0,3
3192,Gottigere,1110.0,2.0,36.25,2
3193,Gottigere,1245.0,2.0,59.0,2
3194,Gottigere,1200.0,2.0,50.0,2
3195,Govindapura,1310.0,2.0,88.0,2
3196,Govindaraja Nagar Ward,2600.0,5.0,370.0,5
3197,Govindpura,1690.0,3.0,75.0,3
3198,Govindpura,1326.0,2.0,62.17,2
3199,Govindpura,1578.0,3.0,73.9,3
3200,Govindpura,1639.0,3.0,77.89,3
3201,Gowdanapalya,600.0,2.0,39.0,2
3202,Gowdanapalya,510.0,1.0,34.0,1
3203,Green Domain Layout,2100.0,3.0,170.0,3
3204,Green Garden Layout,1045.0,2.0,45.0,2
3205,Green Glen Layout,1670.0,3.0,120.0,3
3206,Green Glen Layout,3250.0,4.0,230.0,4
3207,Green Glen Layout,1776.42,3.0,105.0,3
3208,Green Glen Layout,3250.0,4.0,230.0,4
3209,Green Glen Layout,940.0,2.0,56.8,2
3210,Green Glen Layout,1075.0,2.0,60.0,2
3211,Green Glen Layout,1715.0,3.0,115.0,3
3212,Green Glen Layout,1751.0,2.0,115.0,3
3213,Green Glen Layout,1750.0,3.0,130.0,3
3214,Green Glen Layout,1530.0,3.0,105.0,3
3215,Green Glen Layout,1752.0,3.0,105.0,3
3216,Green Glen Layout,1680.0,4.0,95.0,3
3217,Green Glen Layout,1728.0,3.0,125.0,3
3218,Green Glen Layout,1645.0,3.0,110.0,3
3219,Green Glen Layout,1517.0,3.0,100.0,3
3220,Green Glen Layout,3150.0,4.0,218.0,4
3221,Green Glen Layout,3270.0,4.0,205.0,4
3222,Green Glen Layout,1750.0,3.0,120.0,3
3223,Green Glen Layout,1751.0,3.0,115.0,3
3224,Green Glen Layout,1750.0,3.0,105.0,3
3225,Green Glen Layout,1885.0,3.0,135.0,3
3226,Green Glen Layout,1715.0,3.0,120.0,3
3227,Green Glen Layout,1623.29,2.0,105.0,3
3228,Green Glen Layout,1715.0,3.0,115.0,3
3229,Green Glen Layout,1715.0,3.0,105.0,3
3230,Green Glen Layout,1600.0,3.0,105.0,3
3231,Green Glen Layout,1717.0,3.0,125.0,3
3232,Green Glen Layout,1250.0,2.0,75.0,2
3233,Green Glen Layout,1715.0,3.0,112.0,3
3234,Green View Layout,1007.0,2.0,43.0,2
3235,Green View Layout,1000.0,2.0,36.0,2
3236,Green View Layout,1107.0,2.0,40.0,2
3237,Green View Layout,1108.0,2.0,48.0,2
3238,Green View Layout,1150.0,2.0,42.0,2
3239,Green View Layout,1010.0,2.0,41.0,2
3240,Green Woods Layout,1200.0,2.0,66.0,2
3241,Gubbalala,1470.0,2.0,82.0,3
3242,Gubbalala,1745.0,3.0,125.0,3
3243,Gubbalala,1745.0,3.0,104.0,3
3244,Gubbalala,1745.0,3.0,115.0,3
3245,Gubbalala,1745.0,3.0,110.0,3
3246,Gubbalala,1650.0,3.0,71.0,3
3247,Gubbalala,2570.0,4.0,141.0,5
3248,Gubbalala,1205.0,2.0,70.0,2
3249,Gubbalala,1435.0,2.0,80.0,3
3250,Gubbalala,1475.0,2.0,80.0,2
3251,Gubbalala,2000.0,4.0,85.0,4
3252,Gubbalala,1100.0,2.0,49.5,2
3253,Gubbalala,1060.0,2.0,46.0,2
3254,Gubbalala,2000.0,3.0,125.0,3
3255,Gubbalala,4000.0,5.0,195.0,4
3256,Gubbalala,1745.0,3.0,130.0,3
3257,Gubbalala,1285.0,2.0,90.0,2
3258,Guddadahalli,1350.0,4.0,140.0,4
3259,Gulimangala,980.0,2.0,35.0,2
3260,Guni Agrahara,1200.0,2.0,120.0,3
3261,Gunjur,1140.0,2.0,43.0,2
3262,Gunjur,1356.0,2.0,66.0,3
3263,Gunjur,1600.0,3.0,75.0,3
3264,Gunjur,2000.0,3.0,95.0,4
3265,Gunjur,1140.0,2.0,49.11,2
3266,Gunjur,1195.0,2.0,44.0,2
3267,Gunjur,1190.0,2.0,40.0,2
3268,Gunjur,1457.0,2.0,60.0,2
3269,Gunjur,1080.0,2.0,41.0,2
3270,Gunjur,2132.0,3.0,80.0,3
3271,Gunjur,1800.0,3.0,70.0,3
3272,Gunjur,1175.0,2.0,43.48,2
